state,year,total,D,R,R_pv2p,D_pv2p
Alabama,1976,1182850,659170,504070,43.33327602,56.66672398
Alabama,1980,1341929,636730,654192,50.67633831,49.32366169
Alabama,1984,1441713,551899,872849,61.26339535,38.73660465
Alabama,1988,1378476,549506,815576,59.7455684,40.2544316
Alabama,1992,1688060,690080,804283,53.82112646,46.17887354
Alabama,1996,1534349,662165,769044,53.73387115,46.26612885
Alabama,2000,1666272,692611,941173,57.60694192,42.39305808
Alabama,2004,1883415,693933,1176394,62.89777135,37.10222865
Alabama,2008,2099819,813479,1266546,60.89090275,39.10909725
Alabama,2012,2074338,795696,1255925,61.21622853,38.78377147
Alabama,2016,2123372,729547,1318255,64.37414359,35.62585641
Alaska,1976,123574,44058,71555,61.89182877,38.10817123
Alaska,1980,158445,41842,86112,67.29918564,32.70081436
Alaska,1984,207605,62007,138377,69.05591265,30.94408735
Alaska,1988,200116,72584,119251,62.16331743,37.83668257
Alaska,1992,258506,78294,102000,56.57426204,43.42573796
Alaska,1996,241620,80380,122746,60.42850251,39.57149749
Alaska,2000,285560,79004,167398,67.93694856,32.06305144
Alaska,2004,312598,111025,190889,63.22628298,36.77371702
Alaska,2008,326197,123594,193841,61.06478492,38.93521508
Alaska,2012,300495,122640,164676,57.31529048,42.68470952
Alaska,2016,318608,116454,163387,58.38565471,41.61434529
Arizona,1976,742719,295602,418642,58.61330302,41.38669698
Arizona,1980,873945,246843,529688,68.21208683,31.78791317
Arizona,1984,1025897,333854,681416,67.11672757,32.88327243
Arizona,1988,1171873,454029,702541,60.74349153,39.25650847
Arizona,1992,1486975,543050,572086,51.30190398,48.69809602
Arizona,1996,1404405,653288,622073,48.77622885,51.22377115
Arizona,2000,1532016,685341,781652,53.28259917,46.71740083
Arizona,2004,2012585,893524,1104294,55.27500503,44.72499497
Arizona,2008,2293475,1034707,1230111,54.31390072,45.68609928
Arizona,2012,2299254,1025232,1233654,54.61338022,45.38661978
Arizona,2016,2573165,1161167,1252401,51.8900234,48.1099766
Arkansas,1976,767535,498604,267903,34.95114852,65.04885148
Arkansas,1980,837582,398041,403164,50.31970594,49.68029406
Arkansas,1984,884406,338646,534774,61.2275881,38.7724119
Arkansas,1988,827738,349237,466578,57.19164271,42.80835729
Arkansas,1992,950653,505823,337324,40.00773293,59.99226707
Arkansas,1996,884262,475171,325416,40.64717514,59.35282486
Arkansas,2000,921781,422768,472940,52.80068951,47.19931049
Arkansas,2004,1054945,469953,572898,54.93574825,45.06425175
